plotNumber,environment,genotype,genotype_clean,rep,row,column,days_to_flower
2674,Nebraska2025,PI534047,PI534047,2,81,15,48.0
2675,Nebraska2025,PI576365,PI576365,2,80,15,58.0
2676,Nebraska2025,PI564163,PI564163,2,79,15,57.0
2677,Nebraska2025,PI597969,PI597969,2,78,15,57.0
2678,Nebraska2025,PI595708,PI595708,2,77,15,53.0
2679,Nebraska2025,PI533865,PI533865,2,76,15,67.0
2680,Nebraska2025,PI534092,PI534092,2,75,15,65.0
2681,Nebraska2025,PI656007,PI656007,2,74,15,66.0
2682,Nebraska2025,PI533995,PI533995,2,73,15,49.0
2683,Nebraska2025,PI595746,PI595746,2,72,15,67.0
2684,Nebraska2025,PI595729,PI595729,2,71,15,50.0
2685,Nebraska2025,PI534035,PI534035,2,70,15,67.0
2686,Nebraska2025,PI656088,PI656088,2,69,15,55.0
2687,Nebraska2025,PI576358,PI576358,2,68,15,67.0
2688,Nebraska2025,SC0041,SC0041,2,67,15,66.0
2689,Nebraska2025,PI564163,PI564163,2,66,15,57.0
2690,Nebraska2025,PI597980,PI597980,2,65,15,50.0
2691,Nebraska2025,PI576435,PI576435,2,64,15,61.0
2692,Nebraska2025,PI576389,PI576389,2,63,15,62.0
2693,Nebraska2025,SC0249,SC0249,2,62,15,57.0
2694,Nebraska2025,PI534056,PI534056,2,61,15,56.0
2695,Nebraska2025,PI534132,PI534132,2,60,15,68.0
2696,Nebraska2025,PI656113,PI656113,2,59,15,54.0
2697,Nebraska2025,SC0448,SC0448,2,58,15,69.0
2698,Nebraska2025,PI595703,PI595703,2,57,15,64.0
2699,Nebraska2025,PI597974,PI597974,2,56,15,47.0
2701,Nebraska2025,SC1216,SC1216,2,55,16,62.0
2702,Nebraska2025,PI564163,PI564163,2,56,16,59.0
2703,Nebraska2025,PI533873,PI533873,2,57,16,59.0
2704,Nebraska2025,PI655977,PI655977,2,58,16,59.0
2705,Nebraska2025,PI659696,PI659696,2,59,16,60.0
2706,Nebraska2025,PI533807,PI533807,2,60,16,63.0
2707,Nebraska2025,PI534080,PI534080,2,61,16,50.0
2708,Nebraska2025,PI642793,PI642793,2,62,16,62.0
2709,Nebraska2025,PI533811,PI533811,2,63,16,55.0
2710,Nebraska2025,PI533781,PI533781,2,64,16,49.0
2711,Nebraska2025,PI533968,PI533968,2,65,16,52.0
2712,Nebraska2025,PI533830,PI533830,2,66,16,48.0
2713,Nebraska2025,PI534098,PI534098,2,67,16,66.0
2714,Nebraska2025,PI656047,PI656047,2,68,16,67.0
2715,Nebraska2025,PI533782,PI533782,2,69,16,40.0
2716,Nebraska2025,PI597972,PI597972,2,70,16,51.0
2717,Nebraska2025,SC0409,SC0409,2,71,16,53.0
2718,Nebraska2025,PI534067,PI534067,2,72,16,59.0
2719,Nebraska2025,SC0848,SC0848,2,73,16,59.0
2720,Nebraska2025,PI564163,PI564163,2,74,16,56.0
2721,Nebraska2025,PI576375,PI576375,2,75,16,67.0
2722,Nebraska2025,SC0551,SC0551,2,76,16,60.0
2723,Nebraska2025,PI534082,PI534082,2,77,16,55.0
2724,Nebraska2025,PI656024,PI656024,2,78,16,66.0
2725,Nebraska2025,PI533762,PI533762,2,79,16,52.0
2726,Nebraska2025,PI561071,PI561071,2,80,16,66.0
2727,Nebraska2025,SC0999,SC0999,2,81,16,65.0
2728,Nebraska2025,PI655981,PI655981,2,82,16,64.0
2729,Nebraska2025,PI534090,PI534090,2,83,16,48.0
2730,Nebraska2025,PI533857,PI533857,2,84,16,66.0
2731,Nebraska2025,PI576399,PI576399,2,85,16,59.0
2732,Nebraska2025,PI564163,PI564163,2,86,16,60.0
2733,Nebraska2025,PI534100,PI534100,2,87,16,60.0
2734,Nebraska2025,PI534120,PI534120,2,88,16,68.0
2735,Nebraska2025,PI576429,PI576429,2,89,16,51.0
2736,Nebraska2025,PI595722,PI595722,2,90,16,64.0
2737,Nebraska2025,PI576361,PI576361,2,91,16,58.0
2738,Nebraska2025,PI533747,PI533747,2,92,16,50.0
2739,Nebraska2025,PI533759,PI533759,2,93,16,53.0
2740,Nebraska2025,SC0864,SC0864,2,94,16,50.0
2741,Nebraska2025,PI598070,PI598070,2,95,16,71.0
2742,Nebraska2025,PI576405,PI576405,2,96,16,69.0
2743,Nebraska2025,SC0540,SC0540,2,97,16,53.0
2744,Nebraska2025,PI533984,PI533984,2,98,16,56.0
2745,Nebraska2025,PI597955,PI597955,2,99,16,56.0
2746,Nebraska2025,PI564163,PI564163,2,100,16,58.0
2747,Nebraska2025,PI534122,PI534122,2,101,16,66.0
2748,Nebraska2025,PI595731,PI595731,2,102,16,55.0
2749,Nebraska2025,PI576415,PI576415,2,103,16,47.0
2750,Nebraska2025,PI656010,PI656010,2,104,16,67.0
2751,Nebraska2025,PI533996,PI533996,2,104,17,53.0
2752,Nebraska2025,PI534113,PI534113,2,103,17,63.0
2753,Nebraska2025,PI564163,PI564163,2,102,17,58.0
2754,Nebraska2025,PI595718,PI595718,2,101,17,51.0
2755,Nebraska2025,PI533929,PI533929,2,100,17,59.0
2756,Nebraska2025,PI656055,PI656055,2,99,17,69.0
2757,Nebraska2025,PI534121,PI534121,2,98,17,69.0
2758,Nebraska2025,PI534137,PI534137,2,97,17,58.0
2759,Nebraska2025,PI533851,PI533851,2,96,17,59.0
2760,Nebraska2025,PI576369,PI576369,2,95,17,63.0
2761,Nebraska2025,SC0463,SC0463,2,94,17,60.0
2762,Nebraska2025,PI533852,PI533852,2,93,17,58.0
2763,Nebraska2025,PI534072,PI534072,2,92,17,53.0
2764,Nebraska2025,PI655986,PI655986,2,91,17,64.0
2765,Nebraska2025,PI533930,PI533930,2,90,17,59.0
2766,Nebraska2025,PI533788,PI533788,2,89,17,51.0
2767,Nebraska2025,PI597956,PI597956,2,88,17,67.0
2768,Nebraska2025,PI595734,PI595734,2,87,17,62.0
2769,Nebraska2025,PI576427,PI576427,2,86,17,51.0
2770,Nebraska2025,PI533837,PI533837,2,85,17,69.0
2771,Nebraska2025,PI533745,PI533745,2,84,17,52.0
2772,Nebraska2025,PI533963,PI533963,2,83,17,59.0
2773,Nebraska2025,PI533912,PI533912,2,82,17,48.0
2774,Nebraska2025,PI533918,PI533918,2,81,17,59.0
2775,Nebraska2025,PI656086,PI656086,2,80,17,58.0
2776,Nebraska2025,PI564163,PI564163,2,79,17,56.0
2777,Nebraska2025,PI576330,PI576330,2,78,17,69.0
2778,Nebraska2025,PI656006,PI656006,2,77,17,66.0
2779,Nebraska2025,PI534001,PI534001,2,76,17,69.0
2780,Nebraska2025,PI564165,PI564165,2,75,17,67.0
2781,Nebraska2025,PI576368,PI576368,2,74,17,63.0
2782,Nebraska2025,PI533946,PI533946,2,73,17,63.0
2783,Nebraska2025,PI533869,PI533869,2,72,17,64.0
2784,Nebraska2025,SC0847,SC0847,2,71,17,56.0
2785,Nebraska2025,PI534054,PI534054,2,70,17,64.0
2787,Nebraska2025,PI534118,PI534118,2,68,17,68.0
2788,Nebraska2025,PI656040,PI656040,2,67,17,69.0
2789,Nebraska2025,PI534147,PI534147,2,66,17,56.0
2790,Nebraska2025,PI597979,PI597979,2,65,17,53.0
2791,Nebraska2025,PI533771,PI533771,2,64,17,52.0
2792,Nebraska2025,PI533858,PI533858,2,63,17,67.0
2793,Nebraska2025,PI656027,PI656027,2,62,17,66.0
2794,Nebraska2025,PI534136,PI534136,2,61,17,66.0
2795,Nebraska2025,PI564163,PI564163,2,60,17,64.0
2796,Nebraska2025,SC0150,SC0150,2,59,17,65.0
2797,Nebraska2025,PI576337,PI576337,2,58,17,57.0
2798,Nebraska2025,SC1119,SC1119,2,57,17,51.0
2799,Nebraska2025,PI534039,PI534039,2,56,17,56.0
2800,Nebraska2025,PI564163,PI564163,2,55,17,68.0
2801,Nebraska2025,PI533986,PI533986,2,55,18,64.0
2802,Nebraska2025,PI656012,PI656012,2,56,18,73.0
2803,Nebraska2025,PI656016,PI656016,2,57,18,57.0
2804,Nebraska2025,SC0895,SC0895,2,58,18,59.0
2805,Nebraska2025,SC0631,SC0631,2,59,18,59.0
2806,Nebraska2025,PI564163,PI564163,2,60,18,59.0
2807,Nebraska2025,PI597957,PI597957,2,61,18,59.0
2808,Nebraska2025,PI655994,PI655994,2,62,18,58.0
2810,Nebraska2025,PI655972,PI655972,2,64,18,58.0
2811,Nebraska2025,PI656044,PI656044,2,65,18,65.0
2812,Nebraska2025,PI533978,PI533978,2,66,18,57.0
2813,Nebraska2025,PI533752,PI533752,2,67,18,61.0
2814,Nebraska2025,PI597950,PI597950,2,68,18,62.0
2815,Nebraska2025,PI564163,PI564163,2,69,18,57.0
2816,Nebraska2025,PI533820,PI533820,2,70,18,59.0
2817,Nebraska2025,PI534115,PI534115,2,71,18,64.0
2818,Nebraska2025,PI656054,PI656054,2,72,18,79.0
2819,Nebraska2025,PI655983,PI655983,2,73,18,68.0
2820,Nebraska2025,PI533878,PI533878,2,74,18,67.0
2821,Nebraska2025,PI655971,PI655971,2,75,18,58.0
2822,Nebraska2025,PI655975,PI655975,2,76,18,64.0
2823,Nebraska2025,PI656056,PI656056,2,77,18,65.0
2824,Nebraska2025,PI576331,PI576331,2,78,18,69.0
2825,Nebraska2025,PI533928,PI533928,2,79,18,58.0
2826,Nebraska2025,PI597971,PI597971,2,80,18,55.0
2827,Nebraska2025,PI534036,PI534036,2,81,18,67.0
2828,Nebraska2025,PI533965,PI533965,2,82,18,66.0
2829,Nebraska2025,PI533921,PI533921,2,83,18,58.0
2830,Nebraska2025,PI533853,PI533853,2,84,18,58.0
2831,Nebraska2025,PI595719,PI595719,2,85,18,69.0
2832,Nebraska2025,PI533790,PI533790,2,86,18,49.0
2833,Nebraska2025,PI533907,PI533907,2,87,18,73.0
2834,Nebraska2025,PI533805,PI533805,2,88,18,57.0
2835,Nebraska2025,PI534066,PI534066,2,89,18,53.0
2836,Nebraska2025,SC0871,SC0871,2,90,18,64.0
2837,Nebraska2025,PI533985,PI533985,2,91,18,59.0
2838,Nebraska2025,PI576341,PI576341,2,92,18,52.0
2839,Nebraska2025,PI564163,PI564163,2,93,18,59.0
2840,Nebraska2025,PI534154,PI534154,2,94,18,71.0
2841,Nebraska2025,SC0314,SC0314,2,95,18,58.0
2842,Nebraska2025,PI595699,PI595699,2,96,18,66.0
2843,Nebraska2025,PI576367,PI576367,2,97,18,62.0
2844,Nebraska2025,PI534006,PI534006,2,98,18,71.0
2845,Nebraska2025,PI656117,PI656117,2,99,18,62.0
2846,Nebraska2025,PI533988,PI533988,2,100,18,55.0
2847,Nebraska2025,PI533756,PI533756,2,101,18,57.0
2848,Nebraska2025,SC0458,SC0458,2,102,18,71.0
2849,Nebraska2025,PI533936,PI533936,2,103,18,58.0
2850,Nebraska2025,PI576344,PI576344,2,104,18,64.0
2851,Nebraska2025,PI656119,PI656119,2,104,19,49.0
2852,Nebraska2025,PI655999,PI655999,2,103,19,73.0
2853,Nebraska2025,PI656002,PI656002,2,102,19,66.0
2854,Nebraska2025,PI576339,PI576339,2,101,19,56.0
2855,Nebraska2025,PI533923,PI533923,2,100,19,55.0
2856,Nebraska2025,PI533765,PI533765,2,99,19,58.0
2857,Nebraska2025,PI576403,PI576403,2,98,19,60.0
2858,Nebraska2025,PI534112,PI534112,2,97,19,63.0
2859,Nebraska2025,SC0921,SC0921,2,96,19,64.0
2860,Nebraska2025,PI564163,PI564163,2,95,19,57.0
2861,Nebraska2025,SC0092,SC0092,2,94,19,69.0
2862,Nebraska2025,PI595728,PI595728,2,93,19,69.0
2863,Nebraska2025,PI534083,PI534083,2,92,19,54.0
2864,Nebraska2025,PI534125,PI534125,2,91,19,69.0
2865,Nebraska2025,PI597965,PI597965,2,90,19,52.0
2866,Nebraska2025,SC0556,SC0556,2,89,19,60.0
2867,Nebraska2025,PI540816,PI540816,2,88,19,67.0
2868,Nebraska2025,PI533964,PI533964,2,87,19,66.0
2869,Nebraska2025,PI564163,PI564163,2,86,19,61.0
2870,Nebraska2025,SC0266,SC0266,2,85,19,51.0
2871,Nebraska2025,PI534091,PI534091,2,84,19,49.0
2872,Nebraska2025,PI656059,PI656059,2,83,19,64.0
2873,Nebraska2025,PI564163,PI564163,2,82,19,61.0
2874,Nebraska2025,SC0547,SC0547,2,81,19,50.0
2875,Nebraska2025,PI655974,PI655974,2,80,19,71.0
2876,Nebraska2025,PI534094,PI534094,2,79,19,58.0
2877,Nebraska2025,PI534024,PI534024,2,78,19,71.0
2878,Nebraska2025,PI533818,PI533818,2,77,19,53.0
2879,Nebraska2025,PI533962,PI533962,2,76,19,67.0
2880,Nebraska2025,PI595721,PI595721,2,75,19,54.0
2881,Nebraska2025,PI534126,PI534126,2,74,19,73.0
2882,Nebraska2025,PI533993,PI533993,2,73,19,56.0
2883,Nebraska2025,PI533755,PI533755,2,72,19,66.0
2884,Nebraska2025,PI534059,PI534059,2,71,19,53.0
2885,Nebraska2025,PI564163,PI564163,2,70,19,62.0
2886,Nebraska2025,PI595748,PI595748,2,69,19,66.0
2887,Nebraska2025,PI533970,PI533970,2,68,19,57.0
2888,Nebraska2025,PI534026,PI534026,2,67,19,59.0
2889,Nebraska2025,PI576347,PI576347,2,66,19,49.0
2890,Nebraska2025,PI595702,PI595702,2,65,19,53.0
2891,Nebraska2025,PI533872,PI533872,2,64,19,51.0
2892,Nebraska2025,PI533842,PI533842,2,63,19,68.0
2893,Nebraska2025,PI534166,PI534166,2,62,19,50.0
2894,Nebraska2025,PI597949,PI597949,2,61,19,71.0
2895,Nebraska2025,PI597970,PI597970,2,60,19,60.0
2896,Nebraska2025,PI561073,PI561073,2,59,19,71.0
2897,Nebraska2025,PI655979,PI655979,2,58,19,56.0
2898,Nebraska2025,PI597967,PI597967,2,57,19,66.0
2899,Nebraska2025,PI597981,PI597981,2,56,19,48.0
2900,Nebraska2025,PI655973,PI655973,2,55,19,69.0
2901,Nebraska2025,PI533908,PI533908,2,55,20,71.0
2902,Nebraska2025,PI564163,PI564163,2,56,20,58.0
2903,Nebraska2025,PI534117,PI534117,2,57,20,50.0
2904,Nebraska2025,PI595716,PI595716,2,58,20,53.0
2905,Nebraska2025,PI534076,PI534076,2,59,20,54.0
2906,Nebraska2025,PI642998,PI642998,2,60,20,63.0
2907,Nebraska2025,PI534028,PI534028,2,61,20,58.0
2908,Nebraska2025,PI533999,PI533999,2,62,20,59.0
2909,Nebraska2025,PI534005,PI534005,2,63,20,59.0
2910,Nebraska2025,PI564163,PI564163,2,64,20,58.0
2911,Nebraska2025,PI597960,PI597960,2,65,20,56.0
2912,Nebraska2025,PI564163,PI564163,2,66,20,58.0
2913,Nebraska2025,PI656116,PI656116,2,67,20,48.0
2914,Nebraska2025,PI534027,PI534027,2,68,20,63.0
2915,Nebraska2025,PI533906,PI533906,2,69,20,69.0
2916,Nebraska2025,PI576422,PI576422,2,70,20,59.0
2917,Nebraska2025,PI597968,PI597968,2,71,20,55.0
2918,Nebraska2025,PI533838,PI533838,2,72,20,47.0
2919,Nebraska2025,PI564163,PI564163,2,73,20,55.0
2920,Nebraska2025,PI533750,PI533750,2,74,20,73.0
2921,Nebraska2025,PI595744,PI595744,2,75,20,56.0
2922,Nebraska2025,PI656093,PI656093,2,76,20,67.0
2923,Nebraska2025,SC0343,SC0343,2,77,20,55.0
2924,Nebraska2025,PI576426,PI576426,2,78,20,67.0
2925,Nebraska2025,PI564163,PI564163,2,79,20,57.0
2926,Nebraska2025,PI534070,PI534070,2,80,20,49.0
2927,Nebraska2025,PI595724,PI595724,2,81,20,58.0
2928,Nebraska2025,PI564163,PI564163,2,82,20,57.0
2929,Nebraska2025,PI533972,PI533972,2,83,20,69.0
2930,Nebraska2025,PI533758,PI533758,2,84,20,59.0
2931,Nebraska2025,PI534138,PI534138,2,85,20,56.0
2932,Nebraska2025,PI534104,PI534104,2,86,20,62.0
2933,Nebraska2025,PI595739,PI595739,2,87,20,71.0
2934,Nebraska2025,PI533960,PI533960,2,88,20,58.0
2935,Nebraska2025,PI576400,PI576400,2,89,20,66.0
2936,Nebraska2025,PI17548,PI17548,2,90,20,53.0
2937,Nebraska2025,SC0400,SC0400,2,91,20,46.0
2938,Nebraska2025,SC1023,SC1023,2,92,20,56.0
2939,Nebraska2025,PI533987,PI533987,2,93,20,52.0
2940,Nebraska2025,PI533913,PI533913,2,94,20,58.0
2941,Nebraska2025,PI564163,PI564163,2,95,20,57.0
2942,Nebraska2025,PI533828,PI533828,2,96,20,50.0
2943,Nebraska2025,PI22326,PI22326,2,97,20,68.0
2944,Nebraska2025,SC0287,SC0287,2,98,20,43.0
2945,Nebraska2025,PI534017,PI534017,2,99,20,59.0
2946,Nebraska2025,PI533769,PI533769,2,100,20,55.0
2947,Nebraska2025,SC0582,SC0582,2,101,20,69.0
2948,Nebraska2025,PI533834,PI533834,2,102,20,68.0
2949,Nebraska2025,PI533969,PI533969,2,103,20,67.0
2950,Nebraska2025,PI576338,PI576338,2,104,20,63.0
2951,Nebraska2025,PI534061,PI534061,2,104,21,57.0
2952,Nebraska2025,PI533997,PI533997,2,103,21,58.0
2953,Nebraska2025,PI534128,PI534128,2,102,21,67.0
2954,Nebraska2025,PI656098,PI656098,2,101,21,49.0
2955,Nebraska2025,PI564163,PI564163,2,100,21,60.0
2956,Nebraska2025,PI655997,PI655997,2,99,21,63.0
2957,Nebraska2025,PI534139,PI534139,2,98,21,57.0
2958,Nebraska2025,PI576393,PI576393,2,97,21,58.0
2959,Nebraska2025,PI576418,PI576418,2,96,21,68.0
2960,Nebraska2025,PI576329,PI576329,2,95,21,63.0
2961,Nebraska2025,PI533955,PI533955,2,94,21,55.0
2962,Nebraska2025,PI576336,PI576336,2,93,21,49.0
2963,Nebraska2025,PI576430,PI576430,2,92,21,48.0
2964,Nebraska2025,PI564163,PI564163,2,91,21,58.0
2965,Nebraska2025,PI533998,PI533998,2,90,21,49.0
2966,Nebraska2025,SC0191,SC0191,2,89,21,58.0
2967,Nebraska2025,PI564163,PI564163,2,88,21,56.0
2968,Nebraska2025,PI533847,PI533847,2,87,21,58.0
2969,Nebraska2025,PI533931,PI533931,2,86,21,60.0
2970,Nebraska2025,PI576402,PI576402,2,85,21,69.0
2971,Nebraska2025,PI656079,PI656079,2,84,21,58.0
2972,Nebraska2025,BTx645,BTx645,2,83,21,62.0
2973,Nebraska2025,PI595710,PI595710,2,82,21,68.0
2974,Nebraska2025,PI534093,PI534093,2,81,21,48.0
2975,Nebraska2025,SC0236,SC0236,2,80,21,62.0
2976,Nebraska2025,PI533797,PI533797,2,79,21,71.0
2977,Nebraska2025,PI533803,PI533803,2,78,21,48.0
2978,Nebraska2025,PI533871,PI533871,2,77,21,56.0
2979,Nebraska2025,PI533909,PI533909,2,76,21,55.0
2980,Nebraska2025,PI533856,PI533856,2,75,21,59.0
2981,Nebraska2025,PI656033,PI656033,2,74,21,69.0
2982,Nebraska2025,PI534031,PI534031,2,73,21,67.0
2983,Nebraska2025,PI576362,PI576362,2,72,21,62.0
2984,Nebraska2025,PI534079,PI534079,2,71,21,50.0
2985,Nebraska2025,PI533967,PI533967,2,70,21,51.0
2986,Nebraska2025,PI534141,PI534141,2,69,21,69.0
2987,Nebraska2025,PI534101,PI534101,2,68,21,56.0
2988,Nebraska2025,PI576390,PI576390,2,67,21,51.0
2989,Nebraska2025,SC0521,SC0521,2,66,21,49.0
2990,Nebraska2025,PI534042,PI534042,2,65,21,51.0
2991,Nebraska2025,PI533854,PI533854,2,64,21,64.0
2992,Nebraska2025,PI534011,PI534011,2,63,21,66.0
2993,Nebraska2025,PI576381,PI576381,2,62,21,59.0
2994,Nebraska2025,PI576432,PI576432,2,61,21,48.0
2995,Nebraska2025,PI576363,PI576363,2,60,21,59.0
2996,Nebraska2025,PI534145,PI534145,2,59,21,57.0
2997,Nebraska2025,PI656042,PI656042,2,58,21,68.0
2998,Nebraska2025,SC0713,SC0713,2,57,21,50.0
2999,Nebraska2025,PI534050,PI534050,2,56,21,66.0
5001,Nebraska2025,PI544069,PI544069,1,53,22,55.0
5002,Nebraska2025,PI601554,PI601554,1,54,22,70.0
5004,Nebraska2025,PI555457,PI555457,1,6,22,70.0
5005,Nebraska2025,PI605726,PI605726,1,7,22,64.0
5007,Nebraska2025,PI601555,PI601555,1,9,22,62.0
5008,Nebraska2025,PI554650,PI554650,1,10,22,56.0
5009,Nebraska2025,PI594355,PI594355,1,11,22,70.0
5010,Nebraska2025,PI574407,PI574407,1,12,22,66.0
5014,Nebraska2025,PI613610,PI613610,1,16,22,60.0
5015,Nebraska2025,PI554654,PI554654,1,17,22,60.0
5016,Nebraska2025,PI562623,PI562623,1,18,22,71.0
5017,Nebraska2025,PI554646,PI554646,1,19,22,66.0
5018,Nebraska2025,PI606788,PI606788,1,20,22,61.0
5019,Nebraska2025,PI596332,PI596332,1,21,22,64.0
5020,Nebraska2025,PI596567,PI596567,1,22,22,78.0
5021,Nebraska2025,PI601557,PI601557,1,23,22,69.0
5022,Nebraska2025,PI561926,PI561926,1,24,22,59.0
5023,Nebraska2025,PI613611,PI613611,1,25,22,49.0
5025,Nebraska2025,PI554648,PI554648,1,27,22,69.0
5026,Nebraska2025,PI602599,PI602599,1,28,22,66.0
5027,Nebraska2025,PI574398,PI574398,1,29,22,66.0
5028,Nebraska2025,PI613613,PI613613,1,30,22,66.0
5029,Nebraska2025,PI619402,PI619402,1,31,22,64.0
5030,Nebraska2025,PI605724,PI605724,1,32,22,61.0
5031,Nebraska2025,PI543247,PI543247,1,33,22,67.0
5032,Nebraska2025,PI601415,PI601415,1,34,22,61.0
5033,Nebraska2025,PI554649,PI554649,1,35,22,71.0
5034,Nebraska2025,PI603983,PI603983,1,36,22,70.0
5035,Nebraska2025,PI574397,PI574397,1,37,22,53.0
5037,Nebraska2025,PI601744,PI601744,1,39,22,61.0
5038,Nebraska2025,PI605725,PI605725,1,40,22,69.0
5039,Nebraska2025,PI601743,PI601743,1,41,22,66.0
5040,Nebraska2025,PI605723,PI605723,1,42,22,66.0
5041,Nebraska2025,PI601756,PI601756,1,43,22,66.0
5042,Nebraska2025,PI613612,PI613612,1,44,22,52.0
5044,Nebraska2025,PI543243,PI543243,1,46,22,62.0
5045,Nebraska2025,PI601556,PI601556,1,47,22,58.0
5046,Nebraska2025,PI601553,PI601553,1,48,22,62.0
5048,Nebraska2025,PI601716,PI601716,1,50,22,50.0
5049,Nebraska2025,PI602600,PI602600,1,51,22,52.0
5050,Nebraska2025,PI601721,PI601721,1,52,22,66.0
6001,Nebraska2025,PI601716,PI601716,2,55,22,48.0
6003,Nebraska2025,PI533753,PI533753,2,57,22,69.0
6004,Nebraska2025,SC0027,SC0027,2,58,22,69.0
6005,Nebraska2025,PI534057,PI534057,2,59,22,54.0
6006,Nebraska2025,PI656092,PI656092,2,60,22,71.0
6008,Nebraska2025,PI601556,PI601556,2,62,22,58.0
6009,Nebraska2025,PI601555,PI601555,2,63,22,60.0
6011,Nebraska2025,PI601553,PI601553,2,65,22,55.0
6012,Nebraska2025,PI603983,PI603983,2,66,22,66.0
6013,Nebraska2025,PI554650,PI554650,2,67,22,52.0
6014,Nebraska2025,PI543243,PI543243,2,68,22,66.0
6016,Nebraska2025,PI606788,PI606788,2,70,22,59.0
6017,Nebraska2025,PI554648,PI554648,2,71,22,69.0
6018,Nebraska2025,PI562623,PI562623,2,72,22,71.0
6019,Nebraska2025,PI619402,PI619402,2,73,22,63.0
6021,Nebraska2025,PI544069,PI544069,2,75,22,55.0
6023,Nebraska2025,PI574407,PI574407,2,77,22,68.0
6024,Nebraska2025,PI601744,PI601744,2,78,22,62.0
6025,Nebraska2025,PI605723,PI605723,2,79,22,66.0
6026,Nebraska2025,PI543247,PI543247,2,80,22,69.0
6027,Nebraska2025,PI605726,PI605726,2,81,22,60.0
6029,Nebraska2025,PI602600,PI602600,2,83,22,49.0
6030,Nebraska2025,PI601415,PI601415,2,84,22,57.0
6031,Nebraska2025,PI596567,PI596567,2,85,22,75.0
6032,Nebraska2025,PI605725,PI605725,2,86,22,67.0
6033,Nebraska2025,PI596332,PI596332,2,87,22,62.0
6034,Nebraska2025,PI555457,PI555457,2,88,22,66.0
6035,Nebraska2025,PI601721,PI601721,2,89,22,66.0
6036,Nebraska2025,PI574397,PI574397,2,90,22,55.0
6038,Nebraska2025,PI613613,PI613613,2,92,22,65.0
6039,Nebraska2025,PI554646,PI554646,2,93,22,60.0
6040,Nebraska2025,PI613612,PI613612,2,94,22,53.0
6041,Nebraska2025,PI602599,PI602599,2,95,22,66.0
6042,Nebraska2025,PI554649,PI554649,2,96,22,69.0
6043,Nebraska2025,PI605724,PI605724,2,97,22,60.0
6044,Nebraska2025,PI601557,PI601557,2,98,22,69.0
6045,Nebraska2025,PI613611,PI613611,2,99,22,53.0
6046,Nebraska2025,PI554654,PI554654,2,100,22,59.0
6047,Nebraska2025,PI594355,PI594355,2,101,22,71.0
6048,Nebraska2025,PI574398,PI574398,2,102,22,71.0
6049,Nebraska2025,PI561926,PI561926,2,103,22,58.0
6050,Nebraska2025,PI601756,PI601756,2,104,22,66.0
